"condition","std","replication","seed"
2,0.3,15,291
3,0.3,15,292
0,0.45,15,293
1,0.45,15,294
2,0.45,15,295
3,0.45,15,296
0,0.6,15,297
1,0.6,15,298
2,0.6,15,299
3,0.6,15,300
0,0,16,301
1,0,16,302
2,0,16,303
3,0,16,304
0,0.15,16,305
1,0.15,16,306
2,0.15,16,307
3,0.15,16,308
0,0.3,16,309
1,0.3,16,310
2,0.3,16,311
3,0.3,16,312
0,0.45,16,313
1,0.45,16,314
2,0.45,16,315
3,0.45,16,316
0,0.6,16,317
1,0.6,16,318
2,0.6,16,319
3,0.6,16,320
0,0,17,321
1,0,17,322
2,0,17,323
3,0,17,324
0,0.15,17,325
1,0.15,17,326
2,0.15,17,327
3,0.15,17,328
0,0.3,17,329
1,0.3,17,330
2,0.3,17,331
3,0.3,17,332
0,0.45,17,333
1,0.45,17,334
2,0.45,17,335
3,0.45,17,336
0,0.6,17,337
1,0.6,17,338
2,0.6,17,339
3,0.6,17,340
0,0,18,341
1,0,18,342
2,0,18,343
3,0,18,344
0,0.15,18,345
1,0.15,18,346
2,0.15,18,347
3,0.15,18,348
0,0.3,18,349
1,0.3,18,350
2,0.3,18,351
3,0.3,18,352
0,0.45,18,353
1,0.45,18,354
2,0.45,18,355
3,0.45,18,356
0,0.6,18,357
1,0.6,18,358
2,0.6,18,359
3,0.6,18,360
0,0,19,361
1,0,19,362
2,0,19,363
3,0,19,364
0,0.15,19,365
1,0.15,19,366
2,0.15,19,367
3,0.15,19,368
0,0.3,19,369
1,0.3,19,370
2,0.3,19,371
3,0.3,19,372
0,0.45,19,373
1,0.45,19,374
2,0.45,19,375
3,0.45,19,376
0,0.6,19,377
1,0.6,19,378
2,0.6,19,379
3,0.6,19,380
0,0,20,381
1,0,20,382
2,0,20,383
3,0,20,384
0,0.15,20,385
1,0.15,20,386
2,0.15,20,387
3,0.15,20,388
0,0.3,20,389
1,0.3,20,390
2,0.3,20,391
3,0.3,20,392
0,0.45,20,393
1,0.45,20,394
2,0.45,20,395
3,0.45,20,396
0,0.6,20,397
1,0.6,20,398
2,0.6,20,399
3,0.6,20,400
0,0,21,401
1,0,21,402
2,0,21,403
3,0,21,404
0,0.15,21,405
1,0.15,21,406
2,0.15,21,407
3,0.15,21,408
0,0.3,21,409
1,0.3,21,410
2,0.3,21,411
3,0.3,21,412
0,0.45,21,413
1,0.45,21,414
2,0.45,21,415
3,0.45,21,416
0,0.6,21,417
1,0.6,21,418
2,0.6,21,419
3,0.6,21,420
0,0,22,421
1,0,22,422
2,0,22,423
3,0,22,424
0,0.15,22,425
1,0.15,22,426
2,0.15,22,427
3,0.15,22,428
0,0.3,22,429
1,0.3,22,430
2,0.3,22,431
3,0.3,22,432
0,0.45,22,433
1,0.45,22,434
2,0.45,22,435
3,0.45,22,436
0,0.6,22,437
1,0.6,22,438
2,0.6,22,439
3,0.6,22,440
0,0,23,441
1,0,23,442
2,0,23,443
3,0,23,444
0,0.15,23,445
1,0.15,23,446
2,0.15,23,447
3,0.15,23,448
0,0.3,23,449
1,0.3,23,450
2,0.3,23,451
3,0.3,23,452
0,0.45,23,453
1,0.45,23,454
2,0.45,23,455
3,0.45,23,456
0,0.6,23,457
1,0.6,23,458
2,0.6,23,459
3,0.6,23,460
0,0,24,461
1,0,24,462
2,0,24,463
3,0,24,464
0,0.15,24,465
1,0.15,24,466
2,0.15,24,467
3,0.15,24,468
0,0.3,24,469
1,0.3,24,470
2,0.3,24,471
3,0.3,24,472
0,0.45,24,473
1,0.45,24,474
2,0.45,24,475
3,0.45,24,476
0,0.6,24,477
1,0.6,24,478
2,0.6,24,479
3,0.6,24,480
0,0,25,481
1,0,25,482
2,0,25,483
3,0,25,484
0,0.15,25,485
1,0.15,25,486
2,0.15,25,487
3,0.15,25,488
0,0.3,25,489
1,0.3,25,490
2,0.3,25,491
3,0.3,25,492
0,0.45,25,493
1,0.45,25,494
2,0.45,25,495
3,0.45,25,496
0,0.6,25,497
1,0.6,25,498
2,0.6,25,499
3,0.6,25,500
0,0,26,501
1,0,26,502
2,0,26,503
3,0,26,504
0,0.15,26,505
1,0.15,26,506
2,0.15,26,507
3,0.15,26,508
0,0.3,26,509
1,0.3,26,510
2,0.3,26,511
3,0.3,26,512
0,0.45,26,513
1,0.45,26,514
2,0.45,26,515
3,0.45,26,516
0,0.6,26,517
1,0.6,26,518
2,0.6,26,519
3,0.6,26,520
0,0,27,521
1,0,27,522
2,0,27,523
3,0,27,524
0,0.15,27,525
1,0.15,27,526
2,0.15,27,527
3,0.15,27,528
0,0.3,27,529
1,0.3,27,530
2,0.3,27,531
3,0.3,27,532
0,0.45,27,533
1,0.45,27,534
2,0.45,27,535
3,0.45,27,536
0,0.6,27,537
1,0.6,27,538
2,0.6,27,539
3,0.6,27,540
0,0,28,541
1,0,28,542
2,0,28,543
3,0,28,544
0,0.15,28,545
1,0.15,28,546
2,0.15,28,547
3,0.15,28,548
0,0.3,28,549
1,0.3,28,550
2,0.3,28,551
3,0.3,28,552
0,0.45,28,553
1,0.45,28,554
2,0.45,28,555
3,0.45,28,556
0,0.6,28,557
1,0.6,28,558
2,0.6,28,559
3,0.6,28,560
0,0,29,561
1,0,29,562
2,0,29,563
3,0,29,564
0,0.15,29,565
1,0.15,29,566
2,0.15,29,567
3,0.15,29,568
0,0.3,29,569
1,0.3,29,570
2,0.3,29,571
3,0.3,29,572
0,0.45,29,573
1,0.45,29,574
2,0.45,29,575
3,0.45,29,576
0,0.6,29,577
1,0.6,29,578
2,0.6,29,579
3,0.6,29,580
0,0,30,581
1,0,30,582
2,0,30,583
3,0,30,584
0,0.15,30,585
1,0.15,30,586
2,0.15,30,587
3,0.15,30,588
0,0.3,30,589
1,0.3,30,590
2,0.3,30,591
3,0.3,30,592
0,0.45,30,593
1,0.45,30,594
2,0.45,30,595
3,0.45,30,596
0,0.6,30,597
1,0.6,30,598
2,0.6,30,599
3,0.6,30,600
0,0,31,601
1,0,31,602
2,0,31,603
3,0,31,604
0,0.15,31,605
1,0.15,31,606
2,0.15,31,607
3,0.15,31,608
0,0.3,31,609
1,0.3,31,610
2,0.3,31,611
3,0.3,31,612
0,0.45,31,613
1,0.45,31,614
2,0.45,31,615
3,0.45,31,616
0,0.6,31,617
1,0.6,31,618
2,0.6,31,619
3,0.6,31,620
0,0,32,621
1,0,32,622
