"condition","std","replication","seed"
2,0.45,10,291
3,0.45,10,292
4,0.45,10,293
5,0.45,10,294
0,0.6,10,295
1,0.6,10,296
2,0.6,10,297
3,0.6,10,298
4,0.6,10,299
5,0.6,10,300
0,0,11,301
1,0,11,302
2,0,11,303
3,0,11,304
4,0,11,305
5,0,11,306
0,0.15,11,307
1,0.15,11,308
2,0.15,11,309
3,0.15,11,310
4,0.15,11,311
5,0.15,11,312
0,0.3,11,313
1,0.3,11,314
2,0.3,11,315
3,0.3,11,316
4,0.3,11,317
5,0.3,11,318
0,0.45,11,319
1,0.45,11,320
2,0.45,11,321
3,0.45,11,322
4,0.45,11,323
5,0.45,11,324
0,0.6,11,325
1,0.6,11,326
2,0.6,11,327
3,0.6,11,328
4,0.6,11,329
5,0.6,11,330
0,0,12,331
1,0,12,332
2,0,12,333
3,0,12,334
4,0,12,335
5,0,12,336
0,0.15,12,337
1,0.15,12,338
2,0.15,12,339
3,0.15,12,340
4,0.15,12,341
5,0.15,12,342
0,0.3,12,343
1,0.3,12,344
2,0.3,12,345
3,0.3,12,346
4,0.3,12,347
5,0.3,12,348
0,0.45,12,349
1,0.45,12,350
2,0.45,12,351
3,0.45,12,352
4,0.45,12,353
5,0.45,12,354
0,0.6,12,355
1,0.6,12,356
2,0.6,12,357
3,0.6,12,358
4,0.6,12,359
5,0.6,12,360
0,0,13,361
1,0,13,362
2,0,13,363
3,0,13,364
4,0,13,365
5,0,13,366
0,0.15,13,367
1,0.15,13,368
2,0.15,13,369
3,0.15,13,370
4,0.15,13,371
5,0.15,13,372
0,0.3,13,373
1,0.3,13,374
2,0.3,13,375
3,0.3,13,376
4,0.3,13,377
5,0.3,13,378
0,0.45,13,379
1,0.45,13,380
2,0.45,13,381
3,0.45,13,382
4,0.45,13,383
5,0.45,13,384
0,0.6,13,385
1,0.6,13,386
2,0.6,13,387
3,0.6,13,388
4,0.6,13,389
5,0.6,13,390
0,0,14,391
1,0,14,392
2,0,14,393
3,0,14,394
4,0,14,395
5,0,14,396
0,0.15,14,397
1,0.15,14,398
2,0.15,14,399
3,0.15,14,400
4,0.15,14,401
5,0.15,14,402
0,0.3,14,403
1,0.3,14,404
2,0.3,14,405
3,0.3,14,406
4,0.3,14,407
5,0.3,14,408
0,0.45,14,409
1,0.45,14,410
2,0.45,14,411
3,0.45,14,412
4,0.45,14,413
5,0.45,14,414
0,0.6,14,415
1,0.6,14,416
2,0.6,14,417
3,0.6,14,418
4,0.6,14,419
5,0.6,14,420
0,0,15,421
1,0,15,422
2,0,15,423
3,0,15,424
4,0,15,425
5,0,15,426
0,0.15,15,427
1,0.15,15,428
2,0.15,15,429
3,0.15,15,430
4,0.15,15,431
5,0.15,15,432
0,0.3,15,433
1,0.3,15,434
2,0.3,15,435
3,0.3,15,436
4,0.3,15,437
5,0.3,15,438
0,0.45,15,439
1,0.45,15,440
2,0.45,15,441
3,0.45,15,442
4,0.45,15,443
5,0.45,15,444
0,0.6,15,445
1,0.6,15,446
2,0.6,15,447
3,0.6,15,448
4,0.6,15,449
5,0.6,15,450
0,0,16,451
1,0,16,452
2,0,16,453
3,0,16,454
4,0,16,455
5,0,16,456
0,0.15,16,457
1,0.15,16,458
2,0.15,16,459
3,0.15,16,460
4,0.15,16,461
5,0.15,16,462
0,0.3,16,463
1,0.3,16,464
2,0.3,16,465
3,0.3,16,466
4,0.3,16,467
5,0.3,16,468
0,0.45,16,469
1,0.45,16,470
2,0.45,16,471
3,0.45,16,472
4,0.45,16,473
5,0.45,16,474
0,0.6,16,475
1,0.6,16,476
2,0.6,16,477
3,0.6,16,478
4,0.6,16,479
5,0.6,16,480
0,0,17,481
1,0,17,482
2,0,17,483
3,0,17,484
4,0,17,485
5,0,17,486
0,0.15,17,487
1,0.15,17,488
2,0.15,17,489
3,0.15,17,490
4,0.15,17,491
5,0.15,17,492
0,0.3,17,493
1,0.3,17,494
2,0.3,17,495
3,0.3,17,496
4,0.3,17,497
5,0.3,17,498
0,0.45,17,499
1,0.45,17,500
2,0.45,17,501
3,0.45,17,502
4,0.45,17,503
5,0.45,17,504
0,0.6,17,505
1,0.6,17,506
2,0.6,17,507
3,0.6,17,508
4,0.6,17,509
5,0.6,17,510
0,0,18,511
1,0,18,512
2,0,18,513
3,0,18,514
4,0,18,515
5,0,18,516
0,0.15,18,517
1,0.15,18,518
2,0.15,18,519
3,0.15,18,520
4,0.15,18,521
5,0.15,18,522
0,0.3,18,523
1,0.3,18,524
2,0.3,18,525
3,0.3,18,526
4,0.3,18,527
5,0.3,18,528
0,0.45,18,529
1,0.45,18,530
2,0.45,18,531
3,0.45,18,532
4,0.45,18,533
5,0.45,18,534
0,0.6,18,535
1,0.6,18,536
2,0.6,18,537
3,0.6,18,538
4,0.6,18,539
5,0.6,18,540
0,0,19,541
1,0,19,542
2,0,19,543
3,0,19,544
4,0,19,545
5,0,19,546
0,0.15,19,547
1,0.15,19,548
2,0.15,19,549
3,0.15,19,550
4,0.15,19,551
5,0.15,19,552
0,0.3,19,553
1,0.3,19,554
2,0.3,19,555
3,0.3,19,556
4,0.3,19,557
5,0.3,19,558
0,0.45,19,559
1,0.45,19,560
2,0.45,19,561
3,0.45,19,562
4,0.45,19,563
5,0.45,19,564
0,0.6,19,565
1,0.6,19,566
2,0.6,19,567
3,0.6,19,568
4,0.6,19,569
5,0.6,19,570
0,0,20,571
1,0,20,572
2,0,20,573
3,0,20,574
4,0,20,575
5,0,20,576
0,0.15,20,577
1,0.15,20,578
2,0.15,20,579
3,0.15,20,580
4,0.15,20,581
5,0.15,20,582
0,0.3,20,583
1,0.3,20,584
2,0.3,20,585
3,0.3,20,586
4,0.3,20,587
5,0.3,20,588
0,0.45,20,589
1,0.45,20,590
2,0.45,20,591
3,0.45,20,592
4,0.45,20,593
5,0.45,20,594
0,0.6,20,595
1,0.6,20,596
2,0.6,20,597
3,0.6,20,598
4,0.6,20,599
5,0.6,20,600
0,0,21,601
1,0,21,602
2,0,21,603
3,0,21,604
4,0,21,605
5,0,21,606
0,0.15,21,607
1,0.15,21,608
2,0.15,21,609
3,0.15,21,610
4,0.15,21,611
5,0.15,21,612
0,0.3,21,613
1,0.3,21,614
2,0.3,21,615
3,0.3,21,616
4,0.3,21,617
5,0.3,21,618
0,0.45,21,619
1,0.45,21,620
2,0.45,21,621
3,0.45,21,622
4,0.45,21,623
5,0.45,21,624
0,0.6,21,625
1,0.6,21,626
2,0.6,21,627
3,0.6,21,628
4,0.6,21,629
5,0.6,21,630
0,0,22,631
1,0,22,632
2,0,22,633
3,0,22,634
4,0,22,635
5,0,22,636
0,0.15,22,637
1,0.15,22,638
2,0.15,22,639
3,0.15,22,640
4,0.15,22,641
5,0.15,22,642
0,0.3,22,643
1,0.3,22,644
2,0.3,22,645
3,0.3,22,646
4,0.3,22,647
5,0.3,22,648
0,0.45,22,649
1,0.45,22,650
2,0.45,22,651
3,0.45,22,652
4,0.45,22,653
5,0.45,22,654
0,0.6,22,655
1,0.6,22,656
2,0.6,22,657
3,0.6,22,658
4,0.6,22,659
5,0.6,22,660
0,0,23,661
1,0,23,662
2,0,23,663
3,0,23,664
4,0,23,665
5,0,23,666
0,0.15,23,667
1,0.15,23,668
2,0.15,23,669
3,0.15,23,670
4,0.15,23,671
5,0.15,23,672
0,0.3,23,673
1,0.3,23,674
2,0.3,23,675
3,0.3,23,676
4,0.3,23,677
5,0.3,23,678
0,0.45,23,679
1,0.45,23,680
2,0.45,23,681
3,0.45,23,682
4,0.45,23,683
5,0.45,23,684
0,0.6,23,685
1,0.6,23,686
2,0.6,23,687
3,0.6,23,688
4,0.6,23,689
5,0.6,23,690
0,0,24,691
1,0,24,692
2,0,24,693
3,0,24,694
4,0,24,695
5,0,24,696
0,0.15,24,697
1,0.15,24,698
2,0.15,24,699
3,0.15,24,700
4,0.15,24,701
5,0.15,24,702
0,0.3,24,703
1,0.3,24,704
2,0.3,24,705
3,0.3,24,706
4,0.3,24,707
5,0.3,24,708
0,0.45,24,709
1,0.45,24,710
2,0.45,24,711
3,0.45,24,712
4,0.45,24,713
5,0.45,24,714
0,0.6,24,715
1,0.6,24,716
2,0.6,24,717
3,0.6,24,718
4,0.6,24,719
5,0.6,24,720
0,0,25,721
1,0,25,722
2,0,25,723
3,0,25,724
4,0,25,725
5,0,25,726
0,0.15,25,727
1,0.15,25,728
2,0.15,25,729
3,0.15,25,730
4,0.15,25,731
5,0.15,25,732
0,0.3,25,733
1,0.3,25,734
2,0.3,25,735
3,0.3,25,736
4,0.3,25,737
5,0.3,25,738
0,0.45,25,739
1,0.45,25,740
2,0.45,25,741
3,0.45,25,742
4,0.45,25,743
5,0.45,25,744
0,0.6,25,745
1,0.6,25,746
2,0.6,25,747
3,0.6,25,748
4,0.6,25,749
5,0.6,25,750
0,0,26,751
1,0,26,752
2,0,26,753
3,0,26,754
4,0,26,755
5,0,26,756
0,0.15,26,757
1,0.15,26,758
2,0.15,26,759
3,0.15,26,760
4,0.15,26,761
5,0.15,26,762
0,0.3,26,763
1,0.3,26,764
2,0.3,26,765
3,0.3,26,766
4,0.3,26,767
5,0.3,26,768
0,0.45,26,769
1,0.45,26,770
2,0.45,26,771
3,0.45,26,772
4,0.45,26,773
5,0.45,26,774
0,0.6,26,775
1,0.6,26,776
2,0.6,26,777
3,0.6,26,778
4,0.6,26,779
5,0.6,26,780
0,0,27,781
1,0,27,782
2,0,27,783
3,0,27,784
4,0,27,785
5,0,27,786
0,0.15,27,787
1,0.15,27,788
2,0.15,27,789
3,0.15,27,790
4,0.15,27,791
5,0.15,27,792
0,0.3,27,793
1,0.3,27,794
2,0.3,27,795
3,0.3,27,796
4,0.3,27,797
5,0.3,27,798
0,0.45,27,799
1,0.45,27,800
2,0.45,27,801
3,0.45,27,802
4,0.45,27,803
5,0.45,27,804
0,0.6,27,805
1,0.6,27,806
2,0.6,27,807
3,0.6,27,808
4,0.6,27,809
5,0.6,27,810
0,0,28,811
1,0,28,812
2,0,28,813
3,0,28,814
4,0,28,815
5,0,28,816
0,0.15,28,817
1,0.15,28,818
2,0.15,28,819
3,0.15,28,820
4,0.15,28,821
5,0.15,28,822
0,0.3,28,823
1,0.3,28,824
2,0.3,28,825
3,0.3,28,826
4,0.3,28,827
5,0.3,28,828
0,0.45,28,829
1,0.45,28,830
